"","recipe","Source","Page","Type","Cuisine","diet","Ingredients","makeability","Needed"
"1","bibimbap (wok)","Wok",246,"meal","asian","Non-vegetarian","<span style='color: #1C86EE;'>bibimbap sauce</span> or <span style='color: #458B00;'>flank steak</span> or <span style='color: #CD2626;'>rib eye steak</span> or <span style='color: #458B00;'>chicken breast</span> or <span style='color: #CD2626;'>pork loin</span>, <span style='color: #458B00;'>zucchini</span> or <span style='color: #CD2626;'>daikon</span> or <span style='color: #458B00;'>cucumber</span> or <span style='color: #CD2626;'>summer squash</span>, <span style='color: #458B00;'>carrot</span> or <span style='color: #CD2626;'>shiitake mushrooms</span> or <span style='color: #CD2626;'>eggplant</span> or <span style='color: #458B00;'>bell pepper</span>, <span style='color: #CD2626;'>bean sprouts</span> or <span style='color: orange;'>spinach</span>, <span style='color: #458B00;'>sesame oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>sesame seeds</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>honey</span>, <span style='color: #458B00;'>rice</span>, <span style='color: #458B00;'>egg</span>",3,1
"2","bibimbap sauce","Wok",247,"sauce","asian","Vegan","<span style='color: #458B00;'>apple cider vinegar</span> or <span style='color: #458B00;'>rice vinegar</span>, <span style='color: #458B00;'>gochujang</span>, <span style='color: #458B00;'>sesame oil</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>sesame seeds</span>",1,0
"3","broiled miso eggplant","Wok",243,"side","asian","Vegan","<span style='color: #CD2626;'>eggplant</span> or <span style='color: #CD2626;'>chinese eggplant</span>, <span style='color: #458B00;'>mirin</span>, <span style='color: #458B00;'>sake</span>, <span style='color: #458B00;'>miso</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>sesame seeds</span>, <span style='color: #458B00;'>scallions</span>",5,1
"4","miso glazed broiled cod or salmon","Wok",242,"main","asian","Non-vegetarian","<span style='color: #CD2626;'>salmon</span> or <span style='color: #458B00;'>cod</span>, <span style='color: #458B00;'>white miso</span>, <span style='color: #458B00;'>sake</span>, <span style='color: #458B00;'>mirin</span>, <span style='color: #CDAD00;'>shoyu</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>rice</span>, <span style='color: #458B00;'>cucumber</span>, <span style='color: #458B00;'>sesame seeds</span>",2,1
"5","gyudon","Wok",235,"meal","asian","Non-vegetarian","<span style='color: #458B00;'>egg</span> or <span style='color: #CD2626;'>togarashi</span> or <span style='color: #CD2626;'>dashi</span> or <span style='color: #CD2626;'>hondashi</span>, <span style='color: #CD2626;'>rib eye steak</span> or <span style='color: #458B00;'>flank steak</span>, <span style='color: #CDAD00;'>shoyu</span>, <span style='color: #458B00;'>sake</span>, <span style='color: #458B00;'>mirin</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>rice</span>",5,3
"6","oyakadon","Wok",233,"meal","asian","Non-vegetarian","<span style='color: #CD2626;'>dashi</span> or <span style='color: #CD2626;'>hondashi</span>, <span style='color: #458B00;'>chicken breast</span> or <span style='color: #458B00;'>chicken thigh</span>, <span style='color: #CDAD00;'>shoyu</span>, <span style='color: #458B00;'>sake</span>, <span style='color: #458B00;'>mirin</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #458B00;'>rice</span>",5,3
"7","dashi","Wok",519,"ingredient","asian","Vegan","<span style='color: #CD2626;'>kombu</span>, <span style='color: #CD2626;'>katsuobushi</span>",5,2
"8","soy dashi mirin mix","Wok",231,"sauce","asian","Vegan","<span style='color: #458B00;'>sake</span>, <span style='color: #458B00;'>mirin</span>, <span style='color: #CDAD00;'>shoyu</span>, <span style='color: #CD2626;'>katsuobushi</span>, <span style='color: #CD2626;'>kombu</span>",5,3
"9","leftover rice","Noggin",NA,"ingredient","","Vegan","<span style='color: #458B00;'>rice</span> or <span style='color: #458B00;'>white rice</span> or <span style='color: #458B00;'>basmati rice</span>",1,0
"10","tamago-kake gohan","Wok",230,"meal","asian","Vegetarian","<span style='color: #458B00;'>msg</span> or <span style='color: #458B00;'>mirin</span> or <span style='color: #CD2626;'>hondashi</span> or <span style='color: #CD2626;'>furikake</span> or <span style='color: #CD2626;'>nori</span> or <span style='color: #458B00;'>rice</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #458B00;'>soy sauce</span>",1,0
"11","rice cakes with pork, shrimp, pine nuts and vegetables","Wok",214,"meal","asian","Non-vegetarian","<span style='color: #458B00;'>ground pork</span> or <span style='color: #CD2626;'>snap peas</span> or <span style='color: #CD2626;'>green beans</span>, <span style='color: #CD2626;'>rice cakes</span>, <span style='color: #458B00;'>pine nuts</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #CD2626;'>cabbage</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #CD2626;'>shiitake mushrooms</span>, <span style='color: #CD2626;'>shrimp</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>sesame oil</span>",5,5
"12","stir fried rice cakes and chile paste","Wok",212,"meal","asian","Vegetarian","<span style='color: #CD2626;'>rice cakes</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #CD2626;'>gochugaru</span>, <span style='color: #458B00;'>gochujang</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>sesame oil</span>, <span style='color: #458B00;'>sesame seeds</span>",5,2
"13","tofu lettuce cups with pine nuts and hoisin","Wok",210,"meal","asian","Vegan","<span style='color: #458B00;'>sriracha</span> or <span style='color: #458B00;'>chinkiang vinegar</span> or <span style='color: #458B00;'>apple cider vinegar</span>, <span style='color: #CD2626;'>iceberg lettuce</span> or <span style='color: #CD2626;'>romaine lettuce</span>, <span style='color: #458B00;'>tofu</span>, <span style='color: #458B00;'>xiaoxing wine</span>, <span style='color: #458B00;'>dark soy sauce</span>, <span style='color: #458B00;'>hoisin sauce</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>pine nuts</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #CD2626;'>shiitake mushrooms</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #CD2626;'>jicama</span>, <span style='color: #CD2626;'>celery</span>, <span style='color: #458B00;'>cilantro</span>",5,4
"14","thai style chinese broccoli with bacon","Wok",206,"side","asian","Non-vegetarian","<span style='color: #1C86EE;'>pickled chiles</span> or <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>bacon</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>chinese broccoli</span>, <span style='color: #458B00;'>oyster sauce</span>, <span style='color: #458B00;'>dark soy sauce</span>, <span style='color: #458B00;'>sugar</span>",5,2
"15","chinese broccoli with oyster sauce","Wok",205,"side","asian","Non-vegetarian","<span style='color: #458B00;'>chicken stock</span> or <span style='color: #CD2626;'>chinese broccoli</span> or <span style='color: #CD2626;'>bok choy</span>, <span style='color: #458B00;'>oyster sauce</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>xiaoxing wine</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>",5,1
"16","stir fried napa cabbage with vinegar and chiles","Wok",204,"side","asian","Vegan","<span style='color: orange;'>dried red chile pepper</span> or <span style='color: #CD2626;'>napa cabbage</span> or <span style='color: #CD2626;'>cabbage</span> or <span style='color: #CD2626;'>romaine lettuce</span> or <span style='color: #CD2626;'>iceberg lettuce</span>, <span style='color: #458B00;'>chinkiang vinegar</span> or <span style='color: #458B00;'>balsamic vinegar</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>garlic</span>",5,2
